GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,cook,cuisine,drink,eating_out,employment,ethnic_food,exercise,father_education,fav_food,fries,fruit_day,grade_level,greek_food,healthy_feeling,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories,weight
3.0,Female,cereal,610,3,420,espresso,couple of times a week,American,Soda,Never,No,4,2/3 Week,high school degree,both,McDonalds,5,freshman,4,3,higher than $100k,4,5,1,Single,college degree,everything,On campus,Almost everyday,$10.01 to $20,3,slight overweight,veggie-soup,Yes,4,580,500,4,yes,900,190
3.2,Male,cereal,720,3,420,frapuccino,only help during holidays,American,Soda,1-2/week,Part-time,3,Everyday,college degree,Store-bought,McDonalds,4,Sophomore,1,5,higher than $100k,1,5,4,Single,graduate degree,certain products only,On campus,Almost everyday,$10.01 to $20,1,slight overweight,veggie-soup,Yes,1,1165,690,4,yes,1315,155
3.5,Male,donut,720,4,980,espresso,not very often,American,Soda,Never,Part-time,5,Everyday,high school degree,Home-made,McDonalds,4,Junior,5,7,"$15,001 to $30k",5,5,1,Single,college degree,everything,On campus,Almost everyday,$20.01 to $30,5,very fit,veggie-soup,No,5,1165,850,4,yes,1315,175
3.2,Female,cereal,610,3,420,espresso,not very often,American,Orange-Juice,1-2/week,Part-time,5,Everyday,college degree,Home-made,Home-Fries,5,Junior,4,7,"$30,001 to $50k",5,5,1,Single,high school degree,everything,On campus,2-3/week,$10.01 to $20,4,just right,veggie-soup,No,5,1165,500,5,yes,900,129
3.68,Male,cereal,720,4,420,espresso,only help during holidays,American,Soda,1-2/week,No,3,Everyday,high school degree,Home-made,McDonalds,5,freshman,4,7,higher than $100k,3,5,8,Single,some college degree,certain products only,On campus,Almost everyday,$20.01 to $30,3,slight overweight,creamy-soup,Yes,3,1165,850,4,yes,1315,260
3.8,Female,donut,610,2,420,espresso,couple of times a week,American,Soda,2-3/week,Part-time,2,2/3 Week,graduate degree,both,McDonalds,2,Junior,1,5,higher than $100k,1,4,2,In-relation,graduate degree,very rarely,Rent out of campus,1-2/week,$10.01 to $20,1,just right,veggie-soup,No,1,725,500,1,no,900,135
3.3,Male,donut,720,3,420,espresso,couple of times a week,American,Soda,every day,Part-time,1,1 Week,high school degree,Home-made,McDonalds,1,Junior,1,8,"$30,001 to $50k",1,5,1,In-relation,some college degree,certain products only,On campus,Almost everyday,$10.01 to $20,1,slight overweight,veggie-soup,Yes,1,1165,690,4,no,900,190
3.2,Male,cereal,720,3,420,espresso,only help during holidays,American,Soda,1-2/week,No,5,1 Week,graduate degree,Home-made,McDonalds,4,freshman,4,6,"$50,001 to $70k",5,5,6,Single,college degree,never,On campus,Almost everyday,$20.01 to $30,5,just right,veggie-soup,No,5,1165,690,5,no,1315,165
3.75,Male,cereal,610,3,420,espresso,couple of times a week,American,Soda,1-2/week,Part-time,5,Everyday,college degree,Home-made,McDonalds,5,Senior,5,7,higher than $100k,5,5,6,In-relation,college degree,most products,On campus,Almost everyday,$10.01 to $20,5,just right,veggie-soup,Yes,5,940,690,5,yes,1315,175
3.5,Male,cereal,265,3,420,espresso,not very often,American,Soda,1-2/week,No,4,Everyday,college degree,both,McDonalds,4,Junior,4,10,"$70,001 to $100k",3,5,10,In-relation,college degree,very rarely,On campus,Almost everyday,$10.01 to $20,3,very fit,creamy-soup,Yes,4,1165,690,4,no,1315,184
3.92,Male,cereal,430,3,420,espresso,couple of times a week,Mexican.Spanish,Soda,1-2/week,Part-time,4,2/3 Week,high school degree,both,McDonalds,3,freshman,3,2,higher than $100k,3,5,8,Single,graduate degree,certain products only,On campus,2-3/week,$10.01 to $20,3,idont see,veggie-soup,No,3,725,500,2,yes,900,210
3.9,Female,cereal,720,3,420,espresso,not very often,American,Soda,1-2/week,Part-time,3,Everyday,graduate degree,Home-made,McDonalds,5,Sophomore,2,1,"$70,001 to $100k",2,5,1,Single,some college degree,most products,On campus,Almost everyday,$30.01 to $40,1,just right,veggie-soup,Yes,3,1165,500,5,no,760,155
3.9,Male,cereal,720,3,315,frapuccino,only help during holidays,other,Soda,every day,No,5,2/3 Week,college degree,Home-made,McDonalds,5,Senior,5,8,higher than $100k,5,5,1,In-relation,high school degree,very rarely,own house,1-2/week,more than $40.01,1,slight overweight,veggie-soup,Yes,5,1165,690,4,yes,1315,185
3.2,Female,cereal,430,4,420,frapuccino,only help during holidays,Mexican.Spanish,Orange-Juice,2-3/week,Part-time,3,Everyday,some college degree,Home-made,McDonalds,5,freshman,3,3,"$50,001 to $70k",1,5,2,In-relation,college degree,certain products only,On campus,Almost everyday,$10.01 to $20,1,just right,veggie-soup,Yes,1,1165,690,5,yes,900,165
3.5,Female,cereal,610,3,420,espresso,not very often,American,Orange-Juice,1-2/week,Part-time,5,2/3 Week,high school degree,Home-made,McDonalds,5,freshman,5,2,"$15,001 to $30k",5,5,1,In-relation,high school degree,certain products only,On campus,Almost everyday,$5.01 to $10,5,very fit,veggie-soup,Yes,5,940,500,5,no,900,125
3.4,Female,cereal,610,3,420,espresso,not very often,American,Soda,1-2/week,Part-time,5,1 Week,college degree,both,McDonalds,5,freshman,5,3,"$70,001 to $100k",4,5,3,Single,college degree,most products,On campus,Almost everyday,$5.01 to $10,4,overweight,veggie-soup,No,3,1165,500,5,no,1315,160
3.309,Female,cereal,610,4,420,espresso,couple of times a week,American,Soda,2-3/week,No,5,Everyday,graduate degree,both,McDonalds,5,Sophomore,2,7,"$70,001 to $100k",1,5,7,Single,graduate degree,everything,On campus,2-3/week,$10.01 to $20,1,slight overweight,veggie-soup,No,2,940,500,5,yes,900,135
3.7,Female,cereal,610,3,420,espresso,couple of times a week,American,Orange-Juice,1-2/week,Part-time,5,2/3 Week,college degree,Home-made,McDonalds,5,Junior,3,4,"$50,001 to $70k",5,5,8,Single,college degree,most products,On campus,2-3/week,$10.01 to $20,3,idont see,veggie-soup,No,3,725,345,5,yes,760,130
3.309,Female,cereal,720,3,420,espresso,only help during holidays,American,Soda,1-2/week,Part-time,4,Everyday,college degree,both,McDonalds,4,freshman,3,9,"$70,001 to $100k",3,5,3,Single,some college degree,most products,On campus,2-3/week,$20.01 to $30,2,overweight,creamy-soup,No,5,940,690,5,yes,1315,230
3.0,Female,cereal,720,3,420,espresso,not very often,American,Soda,2-3/week,Part-time,4,2/3 Week,college degree,both,McDonalds,3,Senior,5,2,"$50,001 to $70k",3,5,1,In-relation,some college degree,certain products only,Rent out of campus,Almost everyday,$30.01 to $40,4,just right,creamy-soup,Yes,3,1165,690,2,no,1315,125
3.0,Female,cereal,430,3,315,espresso,couple of times a week,American,Orange-Juice,every day,Part-time,5,2/3 Week,graduate degree,Home-made,McDonalds,5,freshman,5,7,less than $15k,5,5,6,Single,college degree,most products,On campus,Almost everyday,$10.01 to $20,4,slight overweight,veggie-soup,No,4,580,500,5,no,760,130
3.8,Female,cereal,430,3,420,frapuccino,couple of times a week,American,Orange-Juice,1-2/week,Part-time,4,Everyday,some college degree,both,McDonalds,4,Sophomore,3,5,"$50,001 to $70k",3,5,4,Single,some college degree,certain products only,On campus,Almost everyday,$10.01 to $20,2,slight overweight,veggie-soup,No,5,1165,690,4,no,900,165
3.8,Female,cereal,430,2,420,espresso,Never,American,Soda,1-2/week,No,2,Everyday,college degree,Store-bought,McDonalds,5,Sophomore,2,6,higher than $100k,5,5,5,In-relation,some college degree,most products,On campus,2-3/week,$10.01 to $20,2,just right,veggie-soup,Yes,2,580,345,5,no,760,128
3.4,Female,cereal,610,3,420,espresso,couple of times a week,American,Soda,2-3/week,Part-time,2,1 Week,graduate degree,Store-bought,McDonalds,4,Sophomore,2,5,higher than $100k,1,5,1,Single,graduate degree,most products,On campus,2-3/week,$10.01 to $20,1,overweight,veggie-soup,No,2,940,690,3,yes,1315,200
3.7,Female,cereal,610,3,315,frapuccino,not very often,Mexican.Spanish,Orange-Juice,3-5/week,No,3,2/3 Week,college degree,Home-made,McDonalds,3,Senior,4,8,"$30,001 to $50k",3,5,9,In-relation,college degree,very rarely,Rent out of campus,2-3/week,$20.01 to $30,4,just right,veggie-soup,Yes,3,580,690,3,no,900,160
2.9,Male,cereal,265,2,980,espresso,couple of times a week,American,Soda,1-2/week,Part-time,3,2/3 Week,high school degree,Home-made,McDonalds,3,Junior,5,9,"$70,001 to $100k",1,3,7,Single,high school degree,most products,Live with parents,Almost everyday,more than $40.01,1,just right,veggie-soup,No,1,725,345,3,no,1315,170
3.9,Female,cereal,610,4,315,espresso,Every day,American,Orange-Juice,3-5/week,No,5,Everyday,graduate degree,both,McDonalds,5,Senior,5,10,higher than $100k,5,5,9,In-relation,graduate degree,most products,On campus,2-3/week,$10.01 to $20,5,just right,veggie-soup,No,5,725,500,3,no,900,129
3.6,Female,cereal,430,2,420,frapuccino,couple of times a week,American,Soda,2-3/week,Part-time,3,2/3 Week,college degree,Home-made,McDonalds,4,Senior,3,9,higher than $100k,2,5,1,In-relation,college degree,most products,On campus,2-3/week,$10.01 to $20,3,slight overweight,veggie-soup,No,2,1165,690,2,no,900,170
2.8,Male,cereal,610,3,315,espresso,not very often,Indian,Soda,2-3/week,No,4,2/3 Week,graduate degree,both,McDonalds,4,Sophomore,3,7,"$30,001 to $50k",5,4,7,In-relation,graduate degree,very rarely,On campus,Almost everyday,$30.01 to $40,3,slim,veggie-soup,Yes,5,940,850,3,no,760,138
3.3,Male,cereal,610,4,980,espresso,only help during holidays,American,Soda,1-2/week,Part-time,2,Everyday,graduate degree,both,McDonalds,5,freshman,1,10,higher than $100k,1,4,10,In-relation,graduate degree,never,On campus,Almost everyday,$30.01 to $40,2,very fit,veggie-soup,Yes,1,1165,690,2,no,1315,150
3.4,Female,cereal,610,3,420,espresso,not very often,American,Orange-Juice,3-5/week,No,4,2/3 Week,some college degree,Store-bought,McDonalds,5,freshman,1,5,less than $15k,3,5,2,Single,some college degree,certain products only,On campus,2-3/week,$10.01 to $20,1,slight overweight,veggie-soup,No,5,725,345,5,yes,1315,170
3.77,Female,cereal,610,3,315,espresso,not very often,Indian,Orange-Juice,1-2/week,Part-time,4,Everyday,high school degree,both,McDonalds,3,Sophomore,2,9,"$15,001 to $30k",2,4,7,Single,high school degree,certain products only,On campus,Almost everyday,$5.01 to $10,2,slight overweight,veggie-soup,No,5,725,690,3,yes,760,113
3.63,Female,cereal,430,3,420,frapuccino,not very often,American,Orange-Juice,1-2/week,Part-time,4,2/3 Week,high school degree,Home-made,McDonalds,5,Sophomore,3,5,"$30,001 to $50k",3,5,8,In-relation,high school degree,certain products only,Live with parents,1-2/week,$20.01 to $30,2,slight overweight,veggie-soup,No,4,940,345,5,no,1315,140
3.2,Male,cereal,610,3,420,espresso,couple of times a week,American-inspired,Orange-Juice,1-2/week,Part-time,5,2/3 Week,graduate degree,both,McDonalds,5,Senior,5,7,"$15,001 to $30k",5,5,6,In-relation,graduate degree,certain products only,On campus,Almost everyday,$10.01 to $20,5,slight overweight,veggie-soup,Yes,5,1165,690,5,no,1315,185
3.5,Female,cereal,610,4,420,espresso,not very often,American,Soda,1-2/week,Full-time,4,2/3 Week,college degree,Home-made,McDonalds,5,Senior,5,5,"$50,001 to $70k",3,5,7,Single,some college degree,everything,Live with parents,Almost everyday,$20.01 to $30,3,slight overweight,veggie-soup,Yes,5,940,500,5,yes,1315,156
3.0,Female,cereal,265,2,315,espresso,not very often,American,Orange-Juice,3-5/week,No,3,2/3 Week,graduate degree,Home-made,McDonalds,4,Senior,1,5,"$15,001 to $30k",5,5,7,Single,high school degree,very rarely,On campus,1-2/week,$20.01 to $30,1,slight overweight,veggie-soup,Yes,4,940,500,5,no,1315,180
3.882,Female,cereal,720,3,420,frapuccino,not very often,American,Orange-Juice,2-3/week,No,5,2/3 Week,graduate degree,Home-made,McDonalds,4,Junior,5,6,"$15,001 to $30k",5,3,10,Single,less than high school,very rarely,On campus,2-3/week,$20.01 to $30,5,slight overweight,veggie-soup,No,5,580,690,4,no,1315,120
3.0,Male,cereal,720,4,420,frapuccino,not very often,American,Soda,every day,Part-time,2,Everyday,some college degree,both,McDonalds,5,freshman,1,1,"$50,001 to $70k",1,5,1,Single,high school degree,most products,On campus,2-3/week,$10.01 to $20,1,very fit,creamy-soup,No,1,940,500,3,yes,1315,135
3.9,Female,cereal,430,3,315,espresso,not very often,Korean/Asian,Orange-Juice,Never,Part-time,3,2/3 Week,college degree,Home-made,McDonalds,3,Junior,2,3,"$70,001 to $100k",2,3,5,In-relation,some college degree,everything,On campus,1-2/week,$10.01 to $20,2,just right,veggie-soup,No,2,725,345,4,no,575,135
